
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X             Y             Z           THXY     THYZ     THZX
    NODE        X             Y             Z           THXY     THYZ     THZX
      432   20898.        83.539       -15.700          0.00     0.00     0.00
      433   20916.        88.694       -15.700          0.00     0.00     0.00
      434   20934.        94.008       -15.700          0.00     0.00     0.00
      435   20952.        99.480       -15.700          0.00     0.00     0.00
      436   20970.        105.11       -15.700          0.00     0.00     0.00
      437   20988.        110.90       -15.700          0.00     0.00     0.00
      438   21006.        116.85       -15.700          0.00     0.00     0.00
      439   21024.        122.96       -15.700          0.00     0.00     0.00
      440   21042.        129.22       -15.700          0.00     0.00     0.00
      441   21060.        135.65       -15.700          0.00     0.00     0.00
      442   21078.        142.23       -15.700          0.00     0.00     0.00
      443   21096.        148.98       -15.700          0.00     0.00     0.00
      444   21114.        155.88       -15.700          0.00     0.00     0.00
      445   21132.        162.94       -15.700          0.00     0.00     0.00
      446   21150.        170.16       -15.700          0.00     0.00     0.00
      447   21168.        177.53       -15.700          0.00     0.00     0.00
      448   21186.        185.07       -15.700          0.00     0.00     0.00
      449   21204.        192.76       -15.700          0.00     0.00     0.00
      450   21222.        200.62       -15.700          0.00     0.00     0.00
      451   21240.        208.63       -15.700          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      452   21258.        216.80       -15.700          0.00     0.00     0.00
      453   21276.        225.13       -15.700          0.00     0.00     0.00
      454   21300.        236.49       -15.700          0.00     0.00     0.00
      455   21324.        227.03       -15.700          0.00     0.00     0.00
      456   21342.        220.11       -15.700          0.00     0.00     0.00
      457   21360.        213.36       -15.700          0.00     0.00     0.00
      458   21378.        206.76       -15.700          0.00     0.00     0.00
      459   21396.        200.32       -15.700          0.00     0.00     0.00
      460   21414.        194.04       -15.700          0.00     0.00     0.00
      461   21432.        187.91       -15.700          0.00     0.00     0.00
      462   21450.        181.94       -15.700          0.00     0.00     0.00
      463   21468.        176.13       -15.700          0.00     0.00     0.00
      464   21486.        170.47       -15.700          0.00     0.00     0.00
      465   21504.        164.97       -15.700          0.00     0.00     0.00
      466   21522.        159.63       -15.700          0.00     0.00     0.00
      467   21540.        154.45       -15.700          0.00     0.00     0.00
